id,code,name_de,name_en,name_fr,name_nl
5,"Atlas","Atlas","Atlas","Atlas","Atlas"
9,"Ligny","Ligny","Ligny","Ligny","Ligny"
12,"QuatreBras","Quatre-Bras","Quatre-Bras","Quatre-Bras","Quatre-Bras"
13,"Waterloo","Waterloo","Waterloo","Waterloo","Waterloo"
14,"Wavre","Wavre","Wavre","Wavre","Wavre"
8,"ImperialWars","Der Napoleonischen Kriege","Napoleonic Wars","Les guerres Napoléoniennes","de Napoleontische oorlogen"
1,"15June","15 Juni","On June 15th","Sur le 15 juin","Op 15 Juni"
7,"ImperialLife","Leben unter dem ersten Kaiserreich","Living in the Empire","Vivre sous le premier Empire","Leven onder de eerste keizerrijk"
2,"16June","16 Juni","On June 16th","Sur le 16 juin","Op 16 Juni"
6,"Campaign","Campaign","1815 Campaign","Sur la Campagne de 1815","Campaign"
4,"1stEmpire","Ersten Kaiserreich","On the First Empire","Sur le Premier Empire","Eerste Keizerrijk"
10,"Maps","Karten","Maps","Maps","Kaarten"
3,"17June","17 Juni","On June 17th","Sur le 17 juin","Op 17 Juni"
11,"Paris","Nach Paris","Back to Paris","Retour à Paris","Naar Parijs"
